indication id,indication name,slug,generics count
2035,Acute pulmonary oedema,acute-pulmonary-oedema-2035,5
2034,Acute psychosis,acute-psychosis-2034,7
2033,Acute promyelocytic leukaemia,acute-promyelocytic-leukaemia-2033,1
4027,Acute painful shoulder,acute-painful-shoulder-4027,1
3952,Acute pain,acute-pain-3952,2
2032,Acute otitis media,acute-otitis-media-2032,13
4121,Acute or chronic narrow angle glaucoma,acute-or-chronic-narrow-angle-glaucoma-4121,1
2031,Acute nonspecific gastroenteritis,acute-nonspecific-gastroenteritis-2031,1
3902,Acute non articular rheumatism,acute-non-articular-rheumatism-3902,0
2030,Acute necrotising ulcerative gingivitis,acute-necrotising-ulcerative-gingivitis-2030,6
2029,Acute myeloid leukaemia,acute-myeloid-leukaemia-2029,11
3990,Acute mucosal infections of the mouth and pharynx,acute-mucosal-infections-of-the-mouth-and-pharynx-3990,0
2045,Adult Respiratory Distress Syndrome,adult-respiratory-distress-syndrome-2045,1
2046,Adult enuresis,adult-enuresis-2046,2
3813,Adult chronic immune (idiopathic) thrombocytopenic purpura (ITP),adult-chronic-immune-idiopathic-thrombocytopenic-purpura-itp-3813,1
4146,Adrenocortical insufficiency in Addison’s disease,adrenocortical-insufficiency-in-addisons-disease-4146,1
2044,Adrenocortical insufficiency,adrenocortical-insufficiency-2044,4
3762,Adjuvant therapy in cardiovascular disease especially in angina and congestive heart failure,adjuvant-therapy-in-cardiovascular-disease-especially-in-angina-and-congestive-heart-failure-3762,1
3812,Adjunct to levodopa treatment in Parkinson's disease,adjunct-to-levodopa-treatment-in-parkinsons-disease-3812,2
2043,Adjunct to IVF procedures and other assisted conception techniques,adjunct-to-ivf-procedures-and-other-assisted-conception-techniques-2043,2
3883,Adenocarcinoma,adenocarcinoma-3883,1
2042,Acute uncomplicated malaria,acute-uncomplicated-malaria-2042,5
2041,Acute trauma,acute-trauma-2041,0
2040,Acute sore throat,acute-sore-throat-2040,13
2039,Acute solar dermatitis,acute-solar-dermatitis-2039,1
4011,Acute severe asthma,acute-severe-asthma-4011,0
2038,Acute salmonellosis,acute-salmonellosis-2038,0
2058,Alkalinizing agent,alkalinizing-agent-2058,2
2057,Alcoholism & drug induced hepatotoxicity,alcoholism-drug-induced-hepatotoxicity-2057,2
2056,Alcohol withdrawal syndrome,alcohol-withdrawal-syndrome-2056,6
2055,Alcohol dependence,alcohol-dependence-2055,3
2054,Albinism,albinism-2054,1
1999,AIDS-related Kaposi's sarcoma,aids-related-kaposis-sarcoma-1999,4
4053,Aid in ophthalmic surgery by staining the anterior capsule of the lens,aid-in-ophthalmic-surgery-by-staining-the-anterior-capsule-of-the-lens-4053,1
2053,Aid in dispersal of extravasated fluids or blood,aid-in-dispersal-of-extravasated-fluids-or-blood-2053,1
2051,Aid controlled ventilation,aid-controlled-ventilation-2051,2
2050,Agoraphobia,agoraphobia-2050,6
2049,Agitation,agitation-2049,5
2048,Aggression,aggression-2048,1
2047,Age-related macular degeneration (AMD),age-related-macular-degeneration-amd-2047,7
4081,Age related eye disease,age-related-eye-disease-4081,2
4212,Allogeneic or autologous haematopoietic progenitor cell transplantation (HPCT),allogeneic-or-autologous-haematopoietic-progenitor-cell-transplantation-hpct-4212,1
2071,Allogeneic bone marrow transplantation,allogeneic-bone-marrow-transplantation-2071,1
2070,Allergies,allergies-2070,15
2069,Allergic skin conditions,allergic-skin-conditions-2069,10
2068,Allergic rhinitis accompanied by nasal congestion,allergic-rhinitis-accompanied-by-nasal-congestion-2068,5
2067,Allergic rhinitis,allergic-rhinitis-2067,31
3781,Allergic otitis externa,allergic-otitis-externa-3781,0
2066,Allergic dermatitis,allergic-dermatitis-2066,3
4033,Allergic contact dermatitis,allergic-contact-dermatitis-4033,1
2065,Allergic conjunctivitis,allergic-conjunctivitis-2065,25
2064,Allergic conditions,allergic-conditions-2064,16
2063,Allergic blepharitis,allergic-blepharitis-2063,2
2062,Allergic and inflammatory disorders,allergic-and-inflammatory-disorders-2062,4
2061,Allergic and inflammatory conditions of the eye,allergic-and-inflammatory-conditions-of-the-eye-2061,10
2060,Allergic and inflammatory conditions of the ear,allergic-and-inflammatory-conditions-of-the-ear-2060,5
2059,Allergic anaphylactic shock,allergic-anaphylactic-shock-2059,2
2084,Anaemia of chronic renal failure,anaemia-of-chronic-renal-failure-2084,6
2083,Anaemia in zidovudine-treated HIV-infected patients,anaemia-in-zidovudine-treated-hiv-infected-patients-2083,3
2082,Anaemia in chemotherapy patients,anaemia-in-chemotherapy-patients-2082,1
2081,Anaemia due to inflammatory bowel disease,anaemia-due-to-inflammatory-bowel-disease-2081,4
2080,Anaemia,anaemia-2080,15
4160,Amyotrophic lateral sclerosis (ALS),amyotrophic-lateral-sclerosis-als-4160,0
3955,Amoebic dysentery,amoebic-dysentery-3955,2
2079,Amoebiasis,amoebiasis-2079,6
2077,Amenorrhea- galactorrhea syndrome,amenorrhea-galactorrhea-syndrome-2077,5
3727,Amblyopia,amblyopia-3727,1
2076,Alzheimer’s disease,alzheimers-disease-2076,8
2075,Aluminum overload,aluminum-overload-2075,1
2074,Altitude sickness,altitude-sickness-2074,2
2073,Alopecia areata,alopecia-areata-2073,5
2095,Anesthesia adjunct,anesthesia-adjunct-2095,1
4097,"Anemia, vitamin & mineral deficiency",anemia-vitamin-mineral-deficiency-4097,2
2072,Androgenic alopecia,androgenic-alopecia-2072,3
2094,Ancylostomiasis,ancylostomiasis-2094,3
2093,Anaphylactic shock,anaphylactic-shock-2093,5
2092,Analgesia during labour,analgesia-during-labour-2092,1
2091,Analgesia,analgesia-2091,6
2090,Anal pruritus,anal-pruritus-2090,7
2089,Anal or vulvar pruritus,anal-or-vulvar-pruritus-2089,4
3895,Anal itching,anal-itching-3895,0
3893,"Anal fissures, pruritus ani and similar conditions of the anal area",anal-fissures-pruritus-ani-and-similar-conditions-of-the-anal-area-3893,3
2088,Anal fissure,anal-fissure-2088,5
2087,Anaesthesia,anaesthesia-2087,19
2086,Anaerobic bacterial infections,anaerobic-bacterial-infections-2086,4
3819,Anaemia related to non-myeloid malignant disease chemotherapy,anaemia-related-to-non-myeloid-malignant-disease-chemotherapy-3819,3
2085,Anaemia of prematurity,anaemia-of-prematurity-2085,4
3777,Antidepressant-induced inorgasmia,antidepressant-induced-inorgasmia-3777,0
2107,Antibiotic-associated colitis,antibiotic-associated-colitis-2107,3
3925,Anti-inflammatory or immunosuppressive,anti-inflammatory-or-immunosuppressive-3925,2
4151,Anti-hypertensive,anti-hypertensive-4151,2
3927,Anti - inflammatory treatment,anti-inflammatory-treatment-3927,2
2106,Anthrax,anthrax-2106,5
2105,Anovulatory infertility,anovulatory-infertility-2105,4
2104,Anorexia nervosa,anorexia-nervosa-2104,6
2103,Anorexia and cachexia,anorexia-and-cachexia-2103,8
2102,Anogenital warts,anogenital-warts-2102,1
2101,Anogenital pruritus,anogenital-pruritus-2101,7
2100,Ankylosing spondylitis,ankylosing-spondylitis-2100,24
4175,Anitis,anitis-4175,1
2099,Angular cheilitis,angular-cheilitis-2099,1
2098,Angioplasty,angioplasty-2098,1
2114,Artherosclerotic vascular disease,artherosclerotic-vascular-disease-2114,1
4026,Arteriovenous Cannulae Occlusion,arteriovenous-cannulae-occlusion-4026,1
4154,Arteriography,arteriography-4154,1
4025,Arterial Thrombosis or Embolism,arterial-thrombosis-or-embolism-4025,1
2112,Arrhythmias,arrhythmias-2112,8
2111,Apthous ulcer,apthous-ulcer-2111,2
3772,Appetite stimulation,appetite-stimulation-3772,5
2110,Apnoea,apnoea-2110,2
2109,Apathy,apathy-2109,1
2108,Anxiety,anxiety-2108,26
3992,Antiseptic skin cleanser,antiseptic-skin-cleanser-3992,4
3761,Antioxidant,antioxidant-3761,9
4153,Angiography,angiography-4153,1
4155,Angiocardiography,angiocardiography-4155,1
3652,Angina pectoris,angina-pectoris-3652,27
2128,Athlete’s foot,athletes-foot-2128,6
2127,Atherosclerosis,atherosclerosis-2127,4
2126,Atelectasis,atelectasis-2126,3
2125,Astrocytoma,astrocytoma-2125,5
3639,Asthmatic bronchitis,asthmatic-bronchitis-3639,1
2124,Asthma prophylaxis,asthma-prophylaxis-2124,6
2123,Asthma,asthma-2123,39
2122,Assisted reproductive technologies,assisted-reproductive-technologies-2122,5
2121,Aspiration pneumonia,aspiration-pneumonia-2121,2
2120,Aspergillosis,aspergillosis-2120,5
2119,Ascites,ascites-2119,4
2118,Ascariasis,ascariasis-2118,5
2117,Artificially ventilated patients,artificially-ventilated-patients-2117,0
2116,Artificial sweetener,artificial-sweetener-2116,6
2115,Arthritis,arthritis-2115,6
2143,Backache,backache-2143,9
2142,Back pain,back-pain-2142,19
2141,Babesiosis,babesiosis-2141,1
2140,B-vitamins and Zinc deficiencies,b-vitamins-and-zinc-deficiencies-2140,1
2139,Auto-immune diseases,auto-immune-diseases-2139,4
2138,Aural infections,aural-infections-2138,6
2137,Auditory vestibular and visual disorder,auditory-vestibular-and-visual-disorder-2137,1
2136,Atypical pneumonia,atypical-pneumonia-2136,4
2135,Attention deficit hyperactivity disorder (ADHD),attention-deficit-hyperactivity-disorder-adhd-2135,4
2134,Atrial flutter,atrial-flutter-2134,2
2133,Atrial fibrillation and atrial flutter,atrial-fibrillation-and-atrial-flutter-2133,5
2132,Atrial fibrillation,atrial-fibrillation-2132,7
2131,Atopic or contact dermatoses,atopic-or-contact-dermatoses-2131,4
2130,Atopic eczema,atopic-eczema-2130,7
2129,Atopic dermatitis,atopic-dermatitis-2129,12
2149,Bacterial Pneumonia caused by Staphylococcus,bacterial-pneumonia-caused-by-staphylococcus-2149,3
2158,Bacterial or fungal vaginal infection,bacterial-or-fungal-vaginal-infection-2158,3
2157,Bacterial ocular infections,bacterial-ocular-infections-2157,10
2148,Bacterial Meningitis caused by Staphylococcus,bacterial-meningitis-caused-by-staphylococcus-2148,3
2156,Bacterial meningitis,bacterial-meningitis-2156,5
2155,Bacterial infections,bacterial-infections-2155,16
2154,Bacterial eye infections,bacterial-eye-infections-2154,13
2153,Bacterial endocarditis,bacterial-endocarditis-2153,5
2152,Bacterial ear infections,bacterial-ear-infections-2152,15
2151,Bacterial corneal ulcer,bacterial-corneal-ulcer-2151,3
2147,Bacterial Conjunctivitis,bacterial-conjunctivitis-2147,14
2150,Bacterial and trichomonal vaginitis,bacterial-and-trichomonal-vaginitis-2150,4
2146,Bacteraemic pneumonia,bacteraemic-pneumonia-2146,5
2145,Bacteraemia and meningitis,bacteraemia-and-meningitis-2145,5
2144,Bacteraemia,bacteraemia-2144,14
2171,Benign prostatic hyperplasia (BPH),benign-prostatic-hyperplasia-bph-2171,10
3723,Benign gastric and duodenal ulceration,benign-gastric-and-duodenal-ulceration-3723,2
2170,Benign breast disorders,benign-breast-disorders-2170,2
2169,Bell’s palsy,bells-palsy-2169,6
2168,Behcet’s syndrome,behcets-syndrome-2168,11
2167,Behavioral disturbances,behavioral-disturbances-2167,6
2166,Bed sore,bed-sore-2166,3
3885,Basal cell carcinoma,basal-cell-carcinoma-3885,1
2165,Balantidiasis,balantidiasis-2165,2
2164,Balanced anaesthesia,balanced-anaesthesia-2164,1
2163,Bad breath,bad-breath-2163,5
2162,Bacterial vaginosis,bacterial-vaginosis-2162,6
2161,Bacterial skin infections,bacterial-skin-infections-2161,7
2160,Bacterial septicemia,bacterial-septicemia-2160,6
2159,Bacterial prostatis,bacterial-prostatis-2159,1
2186,Blepharitis,blepharitis-2186,8
2185,Bleeding or blood clotting problems,bleeding-or-blood-clotting-problems-2185,4
3930,Blastocystis hominis infection,blastocystis-hominis-infection-3930,1
2183,Bladder spasms,bladder-spasms-2183,2
2182,Bladder carcinoma,bladder-carcinoma-2182,6
2181,Bites,bites-2181,1
2180,Bipolar mania,bipolar-mania-2180,7
2179,Bipolar disorder,bipolar-disorder-2179,13
2178,Binge eating disorder,binge-eating-disorder-2178,4
2177,Biliary-tract infections,biliary-tract-infections-2177,4
2176,Biliary dyskinesia,biliary-dyskinesia-2176,1
2175,Biliary colic,biliary-colic-2175,3
2174,Beriberi and Wernick’s encephalopathy,beriberi-and-wernicks-encephalopathy-2174,2
4076,Beriberi and polyneuritis,beriberi-and-polyneuritis-4076,1
2173,Benzodiazepine-induced sedation,benzodiazepine-induced-sedation-2173,0
2172,Benzodiazepine overdose,benzodiazepine-overdose-2172,0
2200,Bradycardia,bradycardia-2200,1
3666,Braces,braces-3666,1
2198,Bowel evacuation,bowel-evacuation-2198,2
2197,Botulism,botulism-2197,1
2196,Bone marrow transplantation,bone-marrow-transplantation-2196,4
2195,Bone marrow stimulation,bone-marrow-stimulation-2195,1
2194,Bone malignancies,bone-malignancies-2194,1
2193,Bone and Joint Infections,bone-and-joint-infections-2193,10
2192,Boils,boils-2192,6
2191,Bodyache,bodyache-2191,11
2190,Body dysmorphic disorder,body-dysmorphic-disorder-2190,7
4117,Block the virus from multiplying,block-the-virus-from-multiplying-4117,1
2188,Blisters,blisters-2188,2
2187,Blepharospasm,blepharospasm-2187,1
3919,Burkitt's lymphoma,burkitts-lymphoma-3919,1
2213,Bullous dermatitis herpetiformis,bullous-dermatitis-herpetiformis-2213,3
2212,Bulimia nervosa,bulimia-nervosa-2212,3
2211,Brucellosis,brucellosis-2211,6
2210,Bronchopneumonia,bronchopneumonia-2210,3
4054,Bronchodilator,bronchodilator-4054,4
2209,Bronchitis,bronchitis-2209,32
2208,Bronchiectasis,bronchiectasis-2208,4
3640,Bronchial asthma,bronchial-asthma-3640,4
2207,Breast pain,breast-pain-2207,3
2206,Breast cancers and glioblastoma multiforme of the brain,breast-cancers-and-glioblastoma-multiforme-of-the-brain-2206,1
2205,Breast cancer in postmenopausal women,breast-cancer-in-postmenopausal-women-2205,1
2204,Breast cancer and bone metastases,breast-cancer-and-bone-metastases-2204,2
3655,Breast cancer,breast-cancer-3655,22
2203,Breakthrough pain,breakthrough-pain-2203,1
2202,Brain tumours,brain-tumours-2202,6
2228,Calcium deficiency,calcium-deficiency-2228,8
2227,Calcium and vitamin D deficiency,calcium-and-vitamin-d-deficiency-2227,5
2226,Calcium and vitamin C deficiency,calcium-and-vitamin-c-deficiency-2226,2
2225,Calcium and magnesium deficiencies,calcium-and-magnesium-deficiencies-2225,2
3698,Calcium & vitamin D supplement,calcium-vitamin-d-supplement-3698,0
2219,Bursitis,bursitis-2219,11
2217,Burns,burns-2217,17
2215,"Burning, pain and skin inflammations",burning-pain-and-skin-inflammations-2215,1
2216,Burning sansation,burning-sansation-2216,4
3743,Burning mouth syndrome,burning-mouth-syndrome-3743,0
3700,Burning feet syndrome,burning-feet-syndrome-3700,1
2214,Burning and irritation of the eye,burning-and-irritation-of-the-eye-2214,3
3875,Burn injury,burn-injury-3875,0
2201,Brain abscesses,brain-abscesses-2201,5
2237,Candidal cystitis,candidal-cystitis-2237,1
2236,Candidal balanitis,candidal-balanitis-2236,3
4103,Candidaemia,candidaemia-4103,1
2235,Candida nappy rash,candida-nappy-rash-2235,0
2234,Candida albicans,candida-albicans-2234,9
2233,Cancer therapy-induced hyperuricaemia,cancer-therapy-induced-hyperuricaemia-2233,2
2231,Cancer Prevention,cancer-prevention-2231,3
3837,Cancer patients receiving myelosuppressive chemotherapy,cancer-patients-receiving-myelosuppressive-chemotherapy-3837,1
3839,Cancer patients receiving bone marrow transplant,cancer-patients-receiving-bone-marrow-transplant-3839,1
2232,Cancer pain,cancer-pain-2232,9
3877,Cancer,cancer-3877,0
2230,Caloric feeding,caloric-feeding-2230,1
2229,Callus,callus-2229,1
3692,Calcium suppliment,calcium-suppliment-3692,3
2252,Cardiovascular disease,cardiovascular-disease-2252,5
2251,Cardiopulmonary Bypass Surgery,cardiopulmonary-bypass-surgery-2251,1
2250,Cardiomyopathy,cardiomyopathy-2250,15
2249,Cardiac stress test,cardiac-stress-test-2249,1
2248,Cardiac arrhythmias,cardiac-arrhythmias-2248,5
2247,Cardiac arrest,cardiac-arrest-2247,5
2246,Carcinoma of the colon or rectum,carcinoma-of-the-colon-or-rectum-2246,6
2244,Carcinoma,carcinoma-2244,28
2243,Carbuncles,carbuncles-2243,3
2242,Carbon monoxide poisoning,carbon-monoxide-poisoning-2242,0
2241,Carbohydrate nutrient in diabetic patients,carbohydrate-nutrient-in-diabetic-patients-2241,0
2240,Capillary bleeding,capillary-bleeding-2240,3
2221,CAPD associated peritonitis,capd-associated-peritonitis-2221,1
3665,Canker sores,canker-sores-3665,2
2239,Candidiasis,candidiasis-2239,16
2238,Candidemia,candidemia-2238,3
2265,Cerebral oedema,cerebral-oedema-2265,0
2264,Central retinal vein occlusion,central-retinal-vein-occlusion-2264,1
2263,Central respiratory depression,central-respiratory-depression-2263,1
2262,Cellulitis,cellulitis-2262,10
2261,Cavities,cavities-2261,4
2260,Catarrh,catarrh-2260,8
2259,Cataract surgery,cataract-surgery-2259,2
2258,Cataract & glaucoma operations,cataract-glaucoma-operations-2258,2
2257,Cataplexy,cataplexy-2257,1
2255,Cat scratch disease,cat-scratch-disease-2255,0
2254,Carditis,carditis-2254,3
4036,Cardiovascular risk reduction,cardiovascular-risk-reduction-4036,1
2253,Cardiovascular event prevention,cardiovascular-event-prevention-2253,4
2279,Chemotherapy induced-neutropenia,chemotherapy-induced-neutropenia-2279,1
2280,Chemotherapy induced nausea and vomiting,chemotherapy-induced-nausea-and-vomiting-2280,2
4075,Cheilosis,cheilosis-4075,1
2278,Chapped roughened hands,chapped-roughened-hands-2278,2
2277,Chancroid,chancroid-2277,1
2276,Cervicitis and salpingitis,cervicitis-and-salpingitis-2276,1
2275,Cervicitis and proctitis,cervicitis-and-proctitis-2275,3
2274,Cervicitis,cervicitis-2274,5
2273,Cervical softening and dilatation,cervical-softening-and-dilatation-2273,1
2272,Cervical priming,cervical-priming-2272,0
2271,Cervical intraepithelial neoplasia,cervical-intraepithelial-neoplasia-2271,1
3748,Cervical dystonia,cervical-dystonia-3748,1
2270,Cervical cancer,cervical-cancer-2270,4
2269,Cerebrovascular insufficiency,cerebrovascular-insufficiency-2269,1
2268,Cerebrovascular disease,cerebrovascular-disease-2268,7
2266,Cerebral palsy,cerebral-palsy-2266,8
2267,Cerebral or pulmonary edema,cerebral-or-pulmonary-edema-2267,1
2294,Chronic anal fissure,chronic-anal-fissure-2294,3
3782,Choroiditis,choroiditis-3782,1
3920,Choriocarcinoma,choriocarcinoma-3920,1
2292,Chorea,chorea-2292,1
4172,Cholestatic liver disease,cholestatic-liver-disease-4172,1
2289,Cholecystitis,cholecystitis-2289,3
2291,Cholera,cholera-2291,5
2287,Chloroquine-resistant falciparum malaria,chloroquine-resistant-falciparum-malaria-2287,1
2286,Chloasma,chloasma-2286,2
2285,Chlamydial urethritis,chlamydial-urethritis-2285,0
2284,Chlamydial infections,chlamydial-infections-2284,3
2283,Chlamydial cervicitis,chlamydial-cervicitis-2283,2
2282,Children’s growth disorders,childrens-growth-disorders-2282,0
2281,Chickenpox,chickenpox-2281,7
2306,Chronic idiopathic constipation,chronic-idiopathic-constipation-2306,3
2305,Chronic hepatitis C,chronic-hepatitis-c-2305,11
2304,Chronic hepatitis B,chronic-hepatitis-b-2304,11
2303,Chronic gastritis,chronic-gastritis-2303,5
2293,Chronic Fatigue Syndrome,chronic-fatigue-syndrome-2293,2
2302,Chronic emphysema,chronic-emphysema-2302,6
4035,Chronic cutaneous graft-vs-host disease,chronic-cutaneous-graft-vs-host-disease-4035,1
2301,Chronic conjunctivitis,chronic-conjunctivitis-2301,2
2300,Chronic cholelithiasis,chronic-cholelithiasis-2300,1
2299,Chronic bronchitis,chronic-bronchitis-2299,14
2298,Chronic bacterial prostatitis,chronic-bacterial-prostatitis-2298,3
2297,Chronic atopic dermatitis,chronic-atopic-dermatitis-2297,5
2296,Chronic asthma,chronic-asthma-2296,7
2295,Chronic anterior uveitis and corneal injury,chronic-anterior-uveitis-and-corneal-injury-2295,2
4006,Chronic angina,chronic-angina-4006,1
4170,Chest congestion,chest-congestion-4170,2
3641,Chronic pneumonia.,chronic-pneumonia-3641,1
3950,Chronic pain,chronic-pain-3950,2
2316,Chronic or recurrent bacteriuria,chronic-or-recurrent-bacteriuria-2316,1
2315,Chronic open angle glaucoma,chronic-open-angle-glaucoma-2315,11
2314,Chronic obstructive pulmonary disease (COPD),chronic-obstructive-pulmonary-disease-copd-2314,25
2313,Chronic myeloid leukaemia,chronic-myeloid-leukaemia-2313,4
2312,Chronic myelogenous leukaemia,chronic-myelogenous-leukaemia-2312,5
2311,Chronic muscle spasticity,chronic-muscle-spasticity-2311,1
4139,Chronic lymphocytic leukemia,chronic-lymphocytic-leukemia-4139,4
2310,Chronic lymphocytic leukaemia,chronic-lymphocytic-leukaemia-2310,3
2309,Chronic low back pain,chronic-low-back-pain-2309,2
2308,Chronic iron overload,chronic-iron-overload-2308,2
2307,Chronic idiopathic urticaria (hives),chronic-idiopathic-urticaria-hives-2307,9
4181,Chronic idiopathic myelofibrosis,chronic-idiopathic-myelofibrosis-4181,1
2327,Cognitive enhancer,cognitive-enhancer-2327,2
3764,Cognitive decline,cognitive-decline-3764,1
4008,Cocorticoid induced osteoporosis,cocorticoid-induced-osteoporosis-4008,1
2326,Coccidioidomycosis,coccidioidomycosis-2326,5
2222,CMV infections,cmv-infections-2222,7
2325,Cluster headache,cluster-headache-2325,11
2323,Cleansing of the colon,cleansing-of-the-colon-2323,2
2322,Cleansing and irrigating the skin or dirty wounds,cleansing-and-irrigating-the-skin-or-dirty-wounds-2322,2
2321,Cirrhosis,cirrhosis-2321,2
2320,Chronic venous disease,chronic-venous-disease-2320,1
2319,Chronic urticaria,chronic-urticaria-2319,10
3648,chronic stable or vasospastic angina,chronic-stable-or-vasospastic-angina-3648,1
2318,Chronic stable angina,chronic-stable-angina-2318,2
3674,Chronic simple lichen,chronic-simple-lichen-3674,1
2317,Chronic renal failure,chronic-renal-failure-2317,13
4009,Chronic psychoses,chronic-psychoses-4009,1
2345,Congestion,congestion-2345,4
2344,Congenital icthyosis,congenital-icthyosis-2344,1
2343,Congenital adrenal hyperplasia,congenital-adrenal-hyperplasia-2343,4
2342,Condylomata acuminata,condylomata-acuminata-2342,2
2339,Complicated UTI,complicated-uti-2339,3
4106,Complicated skin and skin structure infections,complicated-skin-and-skin-structure-infections-4106,5
2340,Complicated and recurrent urinary tract infections,complicated-and-recurrent-urinary-tract-infections-2340,4
2338,Community-acquired pneumonia,community-acquired-pneumonia-2338,15
2337,Common cold,common-cold-2337,13
2335,Colorectal cancer,colorectal-cancer-2335,6
2334,Colonoscopy preparation,colonoscopy-preparation-2334,1
2333,Colonoscopy,colonoscopy-2333,0
2332,Colonopathies,colonopathies-2332,1
2331,Colitis,colitis-2331,6
2330,Colic,colic-2330,10
2355,Corneal protection,corneal-protection-2355,0
2354,Corneal anesthesia,corneal-anesthesia-2354,1
2353,Cornea transplant surgery,cornea-transplant-surgery-2353,0
2223,COPD,copd-2223,23
4159,Conversion of atrial fibrillation/flutter,conversion-of-atrial-fibrillationflutter-4159,0
2352,Contraception,contraception-2352,14
2351,Contact dermatitis,contact-dermatitis-2351,11
2350,Constipation and bowel irregularity,constipation-and-bowel-irregularity-2350,4
2349,Constipation,constipation-2349,38
3847,"Conjunctivitis, blepharitis and blepharoconjunctivitis",conjunctivitis-blepharitis-and-blepharoconjunctivitis-3847,3
2348,Conjunctivitis,conjunctivitis-2348,36
2347,Conjunctival decongestant,conjunctival-decongestant-2347,2
2346,Congestive heart failure,congestive-heart-failure-2346,19
